	gid	gname	Strata	Module	ModuleDesc
3072	PL16198	rl24	Eumetazoa	darkgrey	larva_adult
3073	PL16199	unchar-11266	Parliv	darkgrey	larva_adult
3074	PL16349	unchar-18899	Parliv	darkgrey	larva_adult
3075	PL16387	kpna2	Eumetazoa	darkgrey	larva_adult
3076	PL16540	unchar-11586	Echinoidea	darkgrey	larva_adult
3077	PL16579	nduf4	Eumetazoa	darkgrey	larva_adult
3078	PL16600	rl13a	Eumetazoa	darkgrey	larva_adult
3079	PL16796	unchar-24194	Eumetazoa	darkgrey	larva_adult
3080	PL16859	tm50a	Eumetazoa	darkgrey	larva_adult
3081	PL17064	-	Eumetazoa	darkgrey	larva_adult
3082	PL17087	unk_102	Eumetazoa	darkgrey	larva_adult
3083	PL17170	sod2	Eumetazoa	darkgrey	larva_adult
3084	PL17297	unchar-14905	Bilateria	darkgrey	larva_adult
3085	PL17528	ov16-1	Eumetazoa	darkgrey	larva_adult
3086	PL17540	unchar-6894	Parliv	darkgrey	larva_adult
3087	PL17571	ifi27-2	Echinoidea	darkgrey	larva_adult
3088	PL17628	-	Eumetazoa	darkgrey	larva_adult
3089	PL17746	harb1-11	Eumetazoa	darkgrey	larva_adult
3090	PL17905	dnajc28	Eumetazoa	darkgrey	larva_adult
3091	PL17929	unchar-13794	Eumetazoa	darkgrey	larva_adult
3092	PL17932	atpo	Eumetazoa	darkgrey	larva_adult
3093	PL18364	unchar-4732	Ambulacraria	darkgrey	larva_adult
3094	PL18367	unchar-4729	Ambulacraria	darkgrey	larva_adult
3095	PL18814	unchar-7786	Parliv	darkgrey	larva_adult
3096	PL18923	anr44-26	Deuterostomia	darkgrey	larva_adult
3097	PL19047	c2cd5	Eumetazoa	darkgrey	larva_adult
3098	PL19116	hadhb	Eumetazoa	darkgrey	larva_adult
3099	PL19309	klf11	Eumetazoa	darkgrey	larva_adult
3100	PL19391	unchar-12818	Eumetazoa	darkgrey	larva_adult
3101	PL19495	cox6c	Bilateria	darkgrey	larva_adult
3102	PL19704	rps20	Eumetazoa	darkgrey	larva_adult
3103	PL19708	unchar-8584	Echinoidea	darkgrey	larva_adult
3104	PL19732	cox5b	Eumetazoa	darkgrey	larva_adult
3105	PL19794	tgif	Eumetazoa	darkgrey	larva_adult
3106	PL19798	ndus5	Eumetazoa	darkgrey	larva_adult
3107	PL19986	unchar-12472	Parliv	darkgrey	larva_adult
3108	PL19991	psmb2	Eumetazoa	darkgrey	larva_adult
3109	PL20019	rps12	Eumetazoa	darkgrey	larva_adult
3110	PL20023	sam12	Bilateria	darkgrey	larva_adult
3111	PL20099	rps7	Eumetazoa	darkgrey	larva_adult
3112	PL20105	unchar-12	Eumetazoa	darkgrey	larva_adult
3113	PL20323	unchar-16970	Parliv	darkgrey	larva_adult
3114	PL20490	unchar-5104	Eumetazoa	darkgrey	larva_adult
3115	PL20536	ppglcp	Eumetazoa	darkgrey	larva_adult
3116	PL20589	rab10-2	Eumetazoa	darkgrey	larva_adult
3117	PL20602	pith1	Eumetazoa	darkgrey	larva_adult
3118	PL20618	act3-1	Echinoidea	darkgrey	larva_adult
3119	PL20660	f173b	Eumetazoa	darkgrey	larva_adult
3120	PL20861	htpalpha-1	Eumetazoa	darkgrey	larva_adult
3121	PL20992	unchar-15850	Eumetazoa	darkgrey	larva_adult
3122	PL21579	unchar-17452	Eumetazoa	darkgrey	larva_adult
3123	PL21639	rtjk-102	Eumetazoa	darkgrey	larva_adult
3124	PL21739	gblp	Eumetazoa	darkgrey	larva_adult
3125	PL21754	unchar-306	Eumetazoa	darkgrey	larva_adult
3126	PL21830	unchar-16800	Eumetazoa	darkgrey	larva_adult
3127	PL21834	adh3	Bilateria	darkgrey	larva_adult
3128	PL21906	unchar-6553	Parliv	darkgrey	larva_adult
3129	PL21975	unchar-16458	Parliv	darkgrey	larva_adult
3130	PL22012	ppif	Eumetazoa	darkgrey	larva_adult
3131	PL22059	rps14	Eumetazoa	darkgrey	larva_adult
3132	PL22183	h6pd	Eumetazoa	darkgrey	larva_adult
3133	PL22184	cesl	Bilateria	darkgrey	larva_adult
3134	PL22186	unchar-1402	Eumetazoa	darkgrey	larva_adult
3135	PL22221	rpl34	Eumetazoa	darkgrey	larva_adult
3136	PL22282	mzt1	Bilateria	darkgrey	larva_adult
3137	PL22378	rackc	Eumetazoa	darkgrey	larva_adult
3138	PL22424	rps24	Eumetazoa	darkgrey	larva_adult
3139	PL22459	g3st1-2	Eumetazoa	darkgrey	larva_adult
3140	PL22578	chle-7	Eumetazoa	darkgrey	larva_adult
3141	PL22600	yipf3	Eumetazoa	darkgrey	larva_adult
3142	PL22753	rl12	Eumetazoa	darkgrey	larva_adult
3143	PL22788	rt21	Eumetazoa	darkgrey	larva_adult
3144	PL22934	cno11	Eumetazoa	darkgrey	larva_adult
3145	PL22974	rpl32	Eumetazoa	darkgrey	larva_adult
3146	PL22997	arsj-2	Eumetazoa	darkgrey	larva_adult
3147	PL23019	rpl15	Eumetazoa	darkgrey	larva_adult
3148	PL23139	acp1	Eumetazoa	darkgrey	larva_adult
3149	PL23294	acsl5-2	Eumetazoa	darkgrey	larva_adult
3150	PL23339	cophs4	Eumetazoa	darkgrey	larva_adult
3151	PL23375	vdac2	Eumetazoa	darkgrey	larva_adult
3152	PL23380	wap-2	Ambulacraria	darkgrey	larva_adult
3153	PL23452	polr3b	Eumetazoa	darkgrey	larva_adult
3154	PL23492	prrt1-3	Eumetazoa	darkgrey	larva_adult
3155	PL23501	rnka	Eumetazoa	darkgrey	larva_adult
3156	PL23505	pfd1	Eumetazoa	darkgrey	larva_adult
3157	PL23590	ndufa11	Eumetazoa	darkgrey	larva_adult
3158	PL23614	c10orf59l	Eumetazoa	darkgrey	larva_adult
3159	PL23636	rps11	Eumetazoa	darkgrey	larva_adult
3160	PL23759	cfdp2-68	Eumetazoa	darkgrey	larva_adult
3161	PL23915	estd	Eumetazoa	darkgrey	larva_adult
3162	PL24027	unchar-16624	Parliv	darkgrey	larva_adult
3163	PL24382	unchar-16301	Parliv	darkgrey	larva_adult
3164	PL24466	mpi	Eumetazoa	darkgrey	larva_adult
3165	PL24467	rpl35al	Eumetazoa	darkgrey	larva_adult
3166	PL24570	sat2-5	Eumetazoa	darkgrey	larva_adult
3167	PL24648	unchar-1032	Deuterostomia	darkgrey	larva_adult
3168	PL24668	dcdsh-2	Eumetazoa	darkgrey	larva_adult
3169	PL24713	c1ql-4	Parliv	darkgrey	larva_adult
3170	PL24731	m1i1l	Eumetazoa	darkgrey	larva_adult
3171	PL24797	rpl8	Eumetazoa	darkgrey	larva_adult
3172	PL24865	pipna-1	Deuterostomia	darkgrey	larva_adult
3173	PL24866	unchar-11738	Echinozoa	darkgrey	larva_adult
3174	PL24973	ltor4	Eumetazoa	darkgrey	larva_adult
3175	PL25161	tpt1l	Eumetazoa	darkgrey	larva_adult
3176	PL25221	abcc5l	Eumetazoa	darkgrey	larva_adult
3177	PL25287	anr50-11	Eumetazoa	darkgrey	larva_adult
3178	PL25396	rpl5	Eumetazoa	darkgrey	larva_adult
3179	PL25421	rps18	Eumetazoa	darkgrey	larva_adult
3180	PL25482	psmb1	Eumetazoa	darkgrey	larva_adult
3181	PL25503	atp6v0a1-1	Eumetazoa	darkgrey	larva_adult
3182	PL25695	rpl7a	Eumetazoa	darkgrey	larva_adult
3183	PL25732	unchar-3980	Parliv	darkgrey	larva_adult
3184	PL25746	rpl28	Eumetazoa	darkgrey	larva_adult
3185	PL26008	arpc5	Eumetazoa	darkgrey	larva_adult
3186	PL26085	aif1	Eumetazoa	darkgrey	larva_adult
3187	PL26126	unchar-3508	Eumetazoa	darkgrey	larva_adult
3188	PL26136	grp78	Eumetazoa	darkgrey	larva_adult
3189	PL26168	unchar-15301	Echinoidea	darkgrey	larva_adult
3190	PL26173	-	Parliv	darkgrey	larva_adult
3191	PL26299	traf2	Ambulacraria	darkgrey	larva_adult
3192	PL26312	fbxw5	Eumetazoa	darkgrey	larva_adult
3193	PL26323	-	Eumetazoa	darkgrey	larva_adult
3194	PL26408	tlr3-2	Eumetazoa	darkgrey	larva_adult
3195	PL26474	hdlhd3	Eumetazoa	darkgrey	larva_adult
3196	PL26532	rpl35	Eumetazoa	darkgrey	larva_adult
3197	PL26564	prei4l	Bilateria	darkgrey	larva_adult
3198	PL26594	gpr21	Eumetazoa	darkgrey	larva_adult
3199	PL26659	cplcaiiib	Deuterostomia	darkgrey	larva_adult
3200	PL26714	nubpl	Eumetazoa	darkgrey	larva_adult
3201	PL26796	if5a	Eumetazoa	darkgrey	larva_adult
3202	PL26851	mic10	Eumetazoa	darkgrey	larva_adult
3203	PL26948	cyp2l60	Echinozoa	darkgrey	larva_adult
3204	PL27012	ptn11	Eumetazoa	darkgrey	larva_adult
3205	PL27292	unchar-16170	Parliv	darkgrey	larva_adult
3206	PL27449	rpl22	Eumetazoa	darkgrey	larva_adult
3207	PL27581	unchar-7272	Echinoidea	darkgrey	larva_adult
3208	PL27715	wbs27-9	Eumetazoa	darkgrey	larva_adult
3209	PL27827	hey4	Eumetazoa	darkgrey	larva_adult
3210	PL27998	psmb6	Eumetazoa	darkgrey	larva_adult
3211	PL28002	ssr3	Eumetazoa	darkgrey	larva_adult
3212	PL28159	unchar-22559	Bilateria	darkgrey	larva_adult
3213	PL28178	cdc42	Eumetazoa	darkgrey	larva_adult
3214	PL28181	phb2-1	Eumetazoa	darkgrey	larva_adult
3215	PL28377	unchar-1195	Bilateria	darkgrey	larva_adult
3216	PL28609	uqcrb	Eumetazoa	darkgrey	larva_adult
3217	PL28758	grasp	Eumetazoa	darkgrey	larva_adult
3218	PL28762	cask-1	Eumetazoa	darkgrey	larva_adult
3219	PL28823	nmrl1-1	Bilateria	darkgrey	larva_adult
3220	PL28898	-	Eumetazoa	darkgrey	larva_adult
3221	PL28962	rpn2	Eumetazoa	darkgrey	larva_adult
3222	PL28965	rpl19	Eumetazoa	darkgrey	larva_adult
3223	PL28998	ppce	Eumetazoa	darkgrey	larva_adult
3224	PL29324	rl7	Eumetazoa	darkgrey	larva_adult
3225	PL29408	unchar-10830	Eumetazoa	darkgrey	larva_adult
3226	PL29422	arp3ph	Eumetazoa	darkgrey	larva_adult
3227	PL29426	mic27	Eumetazoa	darkgrey	larva_adult
3228	PL29513	romo1	Eumetazoa	darkgrey	larva_adult
3229	PL29521	atpif1l	Eumetazoa	darkgrey	larva_adult
3230	PL29543	rps8	Eumetazoa	darkgrey	larva_adult
3231	PL29567	dlat	Eumetazoa	darkgrey	larva_adult
3232	PL29578	rs26	Eumetazoa	darkgrey	larva_adult
3233	PL29749	mtr1l-1	Eumetazoa	darkgrey	larva_adult
3234	PL29791	rpl30	Eumetazoa	darkgrey	larva_adult
3235	PL29801	prof-1	Eumetazoa	darkgrey	larva_adult
3236	PL29856	armc8	Eumetazoa	darkgrey	larva_adult
3237	PL29995	ndub3	Eumetazoa	darkgrey	larva_adult
3238	PL30083	unchar-4198	Bilateria	darkgrey	larva_adult
3239	PL30096	gemi7	Eumetazoa	darkgrey	larva_adult
3240	PL30196	rpl11	Eumetazoa	darkgrey	larva_adult
3241	PL30202	sf3b6	Eumetazoa	darkgrey	larva_adult
3242	PL30241	klf7	Eumetazoa	darkgrey	larva_adult
3243	PL30277	akrl-1	Eumetazoa	darkgrey	larva_adult
3244	PL30501	stt3a	Eumetazoa	darkgrey	larva_adult
3245	PL31067	unchar-4247	Eumetazoa	darkgrey	larva_adult
3246	PL31265	ahcy	Eumetazoa	darkgrey	larva_adult
3247	PL31328	vhaac39	Eumetazoa	darkgrey	larva_adult
3248	PL31434	ysm6-14	Eumetazoa	darkgrey	larva_adult
3249	PL31539	-	Parliv	darkgrey	larva_adult
3250	PL31635	lorf2-15	Eumetazoa	darkgrey	larva_adult
3251	PL31735	peci-3	Eumetazoa	darkgrey	larva_adult
3252	PL31870	unchar-9451	Eumetazoa	darkgrey	larva_adult
3253	PL31970	psb3	Eumetazoa	darkgrey	larva_adult
3254	PL32086	cycs-1	Ambulacraria	darkgrey	larva_adult
3255	PL32174	rpl27	Parliv	darkgrey	larva_adult
3256	PL32343	dhb14	Eumetazoa	darkgrey	larva_adult
3257	PL32380	unchar-6212	Parliv	darkgrey	larva_adult
3258	PL32551	crym-1	Eumetazoa	darkgrey	larva_adult
3259	PL32655	psmd11	Eumetazoa	darkgrey	larva_adult
3260	PL32700	hspd1	Eumetazoa	darkgrey	larva_adult
3261	PL32784	atp5b	Eumetazoa	darkgrey	larva_adult
3262	PL33140	acbp	Eumetazoa	darkgrey	larva_adult
3263	PL33203	hcn4	Eumetazoa	darkgrey	larva_adult
3264	PL33208	arp2-3	Eumetazoa	darkgrey	larva_adult
3265	PL33294	unchar-8047	Parliv	darkgrey	larva_adult
3266	PL33715	rps2	Eumetazoa	darkgrey	larva_adult
3267	PL33880	rl18	Eumetazoa	darkgrey	larva_adult
3268	PL33886	cmas	Bilateria	darkgrey	larva_adult
3269	PL33928	eci1-1	Eumetazoa	darkgrey	larva_adult
3270	PL33966	arl16	Eumetazoa	darkgrey	larva_adult
3271	PL34171	dlc4	Eumetazoa	darkgrey	larva_adult
3272	PL34265	rl38	Eumetazoa	darkgrey	larva_adult
3273	PL34293	rm27	Eumetazoa	darkgrey	larva_adult
3274	PL34370	pigx	Bilateria	darkgrey	larva_adult
3275	PL34410	unchar-20870	Eumetazoa	darkgrey	larva_adult
3276	PL34482	atp5h	Eumetazoa	darkgrey	larva_adult
3277	PL34589	echs1	Eumetazoa	darkgrey	larva_adult
3278	PL34632	card11	Eumetazoa	darkgrey	larva_adult
3279	PL34715	atpk	Bilateria	darkgrey	larva_adult
3280	PL34735	aofa-1	Eumetazoa	darkgrey	larva_adult
3281	PL34751	rps9	Eumetazoa	darkgrey	larva_adult
3282	PL34774	rpsa	Eumetazoa	darkgrey	larva_adult
3283	PL34811	unchar-23100	Bilateria	darkgrey	larva_adult
3284	PL34856	met22	Eumetazoa	darkgrey	larva_adult
3285	PL34864	cx6b1	Eumetazoa	darkgrey	larva_adult
3286	PL34946	kiaa0141l	Eumetazoa	darkgrey	larva_adult
3287	PL35047	shmt2-1	Bilateria	darkgrey	larva_adult
3288	PL35092	lyrm1-2	Eumetazoa	darkgrey	larva_adult
3289	PL35097	thop1	Eumetazoa	darkgrey	larva_adult
3290	PL35127	aco2	Eumetazoa	darkgrey	larva_adult
3291	PL35198	rps15a	Eumetazoa	darkgrey	larva_adult
3292	PL35207	unchar-16258	Parliv	darkgrey	larva_adult
3293	PL35215	rpl3	Eumetazoa	darkgrey	larva_adult
3294	PL35217	unchar-7241	Eumetazoa	darkgrey	larva_adult
3295	PL35229	ndufa6	Eumetazoa	darkgrey	larva_adult
3296	PL35361	unchar-18365	Eumetazoa	darkgrey	larva_adult
3297	PL35454	rpl10	Eumetazoa	darkgrey	larva_adult
3298	PL35461	apg12	Eumetazoa	darkgrey	larva_adult
3299	PL35467	acpm	Eumetazoa	darkgrey	larva_adult
3300	PL35568	srcr206	Parliv	darkgrey	larva_adult
3301	PL35755	arc1a	Eumetazoa	darkgrey	larva_adult
3302	PL35856	unchar-1997	Eumetazoa	darkgrey	larva_adult
3303	PL35873	unchar-8355	Parliv	darkgrey	larva_adult
3304	PL36219	nans	Eumetazoa	darkgrey	larva_adult
3305	PL36291	atp5i	Bilateria	darkgrey	larva_adult
3306	PL36298	2aba	Eumetazoa	darkgrey	larva_adult
3307	PL36357	rm43	Eumetazoa	darkgrey	larva_adult
3308	PL36379	immt-2	Eumetazoa	darkgrey	larva_adult
3309	PL36509	unchar-14169	Eumetazoa	darkgrey	larva_adult
3310	PL36631	nelfa	Eumetazoa	darkgrey	larva_adult
3311	PL36646	psd4	Eumetazoa	darkgrey	larva_adult
3312	PL36700	aatc	Eumetazoa	darkgrey	larva_adult
3313	PL36848	unchar-15093	Parliv	darkgrey	larva_adult
3314	PL36852	cox15	Eumetazoa	darkgrey	larva_adult
3315	PL36862	idh3b	Eumetazoa	darkgrey	larva_adult
3316	PL36914	fbx36	Eumetazoa	darkgrey	larva_adult
3317	PL36925	rpl26	Eumetazoa	darkgrey	larva_adult
3318	PL37008	prld1	Eumetazoa	darkgrey	larva_adult
3319	PL37251	rbm13	Eumetazoa	darkgrey	larva_adult
3320	PL37427	unchar-2676	Parliv	darkgrey	larva_adult
3321	PL37479	ado	Eumetazoa	darkgrey	larva_adult
3322	PL37595	atp5f1	Eumetazoa	darkgrey	larva_adult
3323	PL37719	rps10	Eumetazoa	darkgrey	larva_adult
3324	PL37816	unchar-24050	Eumetazoa	darkgrey	larva_adult
3325	PL37949	hint2-1	Eumetazoa	darkgrey	larva_adult
3326	PL38168	nap1l1	Eumetazoa	darkgrey	larva_adult
3327	PL38187	unchar-16776	Parliv	darkgrey	larva_adult
3328	PL38293	odpx	Eumetazoa	darkgrey	larva_adult
3329	PL38374	taldo1	Eumetazoa	darkgrey	larva_adult
3330	PL38400	ndufb8	Eumetazoa	darkgrey	larva_adult
3331	PL38740	unchar-11298	Parliv	darkgrey	larva_adult
3332	PL38756	unchar-2309	Eumetazoa	darkgrey	larva_adult
3333	PL38833	comd9	Eumetazoa	darkgrey	larva_adult
3334	PL38896	unchar-15031	Parliv	darkgrey	larva_adult
3335	PL38940	psma1	Eumetazoa	darkgrey	larva_adult
3336	PL38998	mtch2l	Eumetazoa	darkgrey	larva_adult
3337	PL39155	rpl36a	Eumetazoa	darkgrey	larva_adult
3338	PL39213	imp1l	Eumetazoa	darkgrey	larva_adult
3339	PL39390	sam5a	Eumetazoa	darkgrey	larva_adult
3340	PL39429	rl10a-1	Bilateria	darkgrey	larva_adult
3341	PL39449	unchar-14939	Eumetazoa	darkgrey	larva_adult
3342	PL39482	rl27a	Eumetazoa	darkgrey	larva_adult
3343	PL39529	chmp2a	Eumetazoa	darkgrey	larva_adult
3344	PL39719	unchar-9506	Parliv	darkgrey	larva_adult
3345	PL39824	rps16	Eumetazoa	darkgrey	larva_adult
3346	PL39835	tcpb	Eumetazoa	darkgrey	larva_adult
3347	PL39893	rps13	Eumetazoa	darkgrey	larva_adult
3348	PL40050	unchar-5442	Parliv	darkgrey	larva_adult
3349	PL40301	heatr7a	Eumetazoa	darkgrey	larva_adult
3350	PL40311	netr-7	Echinoidea	darkgrey	larva_adult
3351	PL40314	rl14	Eumetazoa	darkgrey	larva_adult
3352	PL40329	st3gal3	Deuterostomia	darkgrey	larva_adult
3353	PL40341	ndufs3	Eumetazoa	darkgrey	larva_adult
3354	PL40466	ggct-2	Eumetazoa	darkgrey	larva_adult
3355	PL40621	ndus6	Eumetazoa	darkgrey	larva_adult
3356	PL40712	ndufv2	Eumetazoa	darkgrey	larva_adult
3357	PL40726	unchar-8545	Parliv	darkgrey	larva_adult
3358	PL40738	fbp1-17	Eumetazoa	darkgrey	larva_adult
3359	PL40851	gmds	Eumetazoa	darkgrey	larva_adult
3360	PL40866	psa7l	Eumetazoa	darkgrey	larva_adult
3361	PL40966	psb5	Eumetazoa	darkgrey	larva_adult
3362	PL41019	pcft-2	Eumetazoa	darkgrey	larva_adult
3363	PL41023	rpl13	Eumetazoa	darkgrey	larva_adult
3364	PL41044	dad1	Eumetazoa	darkgrey	larva_adult
3365	PL41066	hpgd	Eumetazoa	darkgrey	larva_adult
3366	PL41127	unchar-6981	Parliv	darkgrey	larva_adult
3367	PL41395	unchar-14482	Parliv	darkgrey	larva_adult
3368	PL41619	unchar-20575	Bilateria	darkgrey	larva_adult
3369	PL41630	unchar-12306	Bilateria	darkgrey	larva_adult
3370	PL00261	chd2	Eumetazoa	blue2	embryonic_gastrula
3371	PL00538	sema6-2	Eumetazoa	blue2	embryonic_gastrula
3372	PL00545	unchar-22385	Eumetazoa	blue2	embryonic_gastrula
3373	PL00752	eqst	Eumetazoa	blue2	embryonic_gastrula
3374	PL00866	sema6-1	Parliv	blue2	embryonic_gastrula
3375	PL00891	trpm3-1	Eumetazoa	blue2	embryonic_gastrula
3376	PL00997	unchar-5201	Parliv	blue2	embryonic_gastrula
3377	PL01264	ap3b2	Eumetazoa	blue2	embryonic_gastrula
3378	PL01394	unchar-18733	Eumetazoa	blue2	embryonic_gastrula
3379	PL01571	herc1-1	Eumetazoa	blue2	embryonic_gastrula
3380	PL01725	nacha2-1	Eumetazoa	blue2	embryonic_gastrula
3381	PL01907	unchar-23816	Parliv	blue2	embryonic_gastrula
3382	PL02258	plk2	Bilateria	blue2	embryonic_gastrula
3383	PL02615	pogk-3	Eumetazoa	blue2	embryonic_gastrula
3384	PL03180	abcd3	Eumetazoa	blue2	embryonic_gastrula
3385	PL03522	unchar-5421	Parliv	blue2	embryonic_gastrula
3386	PL04013	fcho2	Eumetazoa	blue2	embryonic_gastrula
3387	PL04834	wash7-1	Eumetazoa	blue2	embryonic_gastrula
3388	PL04868	gulp1	Eumetazoa	blue2	embryonic_gastrula
3389	PL05021	coro2b	Eumetazoa	blue2	embryonic_gastrula
3390	PL05112	ron	Eumetazoa	blue2	embryonic_gastrula
3391	PL05129	cacna2d2	Eumetazoa	blue2	embryonic_gastrula
3392	PL05805	peak1-2	Eumetazoa	blue2	embryonic_gastrula
3393	PL05863	unchar-10809	Eumetazoa	blue2	embryonic_gastrula
3394	PL06400	vparpf-1	Eumetazoa	blue2	embryonic_gastrula
3395	PL06422	unchar-3022	Eumetazoa	blue2	embryonic_gastrula
3396	PL06604	axndhc6h-2	Eumetazoa	blue2	embryonic_gastrula
3397	PL06887	kiaa1992	Eumetazoa	blue2	embryonic_gastrula
3398	PL06907	unchar-11193	Parliv	blue2	embryonic_gastrula
3399	PL07023	rheb-1	Eumetazoa	blue2	embryonic_gastrula
3400	PL07105	e12	Eumetazoa	blue2	embryonic_gastrula
3401	PL07345	ebp	Bilateria	blue2	embryonic_gastrula
3402	PL07551	imdzlprpn	Eumetazoa	blue2	embryonic_gastrula
3403	PL07566	huwe1-1	Eumetazoa	blue2	embryonic_gastrula
3404	PL07601	fgd6	Eumetazoa	blue2	embryonic_gastrula
3405	PL07754	unchar-2129	Echinoidea	blue2	embryonic_gastrula
3406	PL08015	unchar-10715	Eumetazoa	blue2	embryonic_gastrula
3407	PL08124	vc1-2	Eumetazoa	blue2	embryonic_gastrula
3408	PL08217	dnah17l	Eumetazoa	blue2	embryonic_gastrula
3409	PL08303	unchar-7926	Eumetazoa	blue2	embryonic_gastrula
3410	PL08551	unchar-8592	Eumetazoa	blue2	embryonic_gastrula
3411	PL08676	si1l2	Echinoidea	blue2	embryonic_gastrula
3412	PL08916	-	Eumetazoa	blue2	embryonic_gastrula
3413	PL08933	dnahc11	Eumetazoa	blue2	embryonic_gastrula
3414	PL09693	akap6l	Bilateria	blue2	embryonic_gastrula
3415	PL09852	baz1a-1	Eumetazoa	blue2	embryonic_gastrula
3416	PL09957	unchar-13104	Parliv	blue2	embryonic_gastrula
3417	PL10307	papl1	Eumetazoa	blue2	embryonic_gastrula
3418	PL10756	unchar-803	Eumetazoa	blue2	embryonic_gastrula
3419	PL10852	dyh9	Eumetazoa	blue2	embryonic_gastrula
3420	PL10943	emapl2	Eumetazoa	blue2	embryonic_gastrula
3421	PL11094	unchar-16086	Eumetazoa	blue2	embryonic_gastrula
3422	PL11185	unchar-6509	Parliv	blue2	embryonic_gastrula
3423	PL11771	-	Parliv	blue2	embryonic_gastrula
3424	PL11973	cytd2hc-2	Eumetazoa	blue2	embryonic_gastrula
3425	PL11997	shrm3	Eumetazoa	blue2	embryonic_gastrula
3426	PL12560	ankrd10	Eumetazoa	blue2	embryonic_gastrula
3427	PL12722	adcy10-3	Eumetazoa	blue2	embryonic_gastrula
3428	PL13369	hirha	Eumetazoa	blue2	embryonic_gastrula
3429	PL13429	nacha3	Eumetazoa	blue2	embryonic_gastrula
3430	PL13477	cutl	Eumetazoa	blue2	embryonic_gastrula
3431	PL13954	unchar-31	Eumetazoa	blue2	embryonic_gastrula
3432	PL14075	kiaa0100l	Eumetazoa	blue2	embryonic_gastrula
3433	PL14076	axndhc10h-2	Eumetazoa	blue2	embryonic_gastrula
3434	PL14472	unchar-17245	Parliv	blue2	embryonic_gastrula
3435	PL14475	unchar-17244	Bilateria	blue2	embryonic_gastrula
3436	PL14774	unchar-769	Parliv	blue2	embryonic_gastrula
3437	PL14847	unchar-17578	Eumetazoa	blue2	embryonic_gastrula
3438	PL14924	gcn1l1	Eumetazoa	blue2	embryonic_gastrula
3439	PL15286	unchar-10138	Parliv	blue2	embryonic_gastrula
3440	PL15442	unchar-4962	Eumetazoa	blue2	embryonic_gastrula
3441	PL16091	axndhc15h	Eumetazoa	blue2	embryonic_gastrula
3442	PL16727	mdn1-2	Eumetazoa	blue2	embryonic_gastrula
3443	PL16788	mdn1-1	Bilateria	blue2	embryonic_gastrula
3444	PL16952	unchar-2369	Bilateria	blue2	embryonic_gastrula
3445	PL17142	glt-1	Eumetazoa	blue2	embryonic_gastrula
3446	PL17176	cnnm2-2	Eumetazoa	blue2	embryonic_gastrula
3447	PL17273	pdss2	Eumetazoa	blue2	embryonic_gastrula
3448	PL17295	pical	Eumetazoa	blue2	embryonic_gastrula
3449	PL17443	top2a-2	Eumetazoa	blue2	embryonic_gastrula
3450	PL17509	top2b-2	Eumetazoa	blue2	embryonic_gastrula
3451	PL17586	axndhc5h-3	Eumetazoa	blue2	embryonic_gastrula
3452	PL17591	-	Bilateria	blue2	embryonic_gastrula
3453	PL17606	xkr6-8	Eumetazoa	blue2	embryonic_gastrula
3454	PL17891	top2a-1	Eumetazoa	blue2	embryonic_gastrula
3455	PL18676	thap9-5	Eumetazoa	blue2	embryonic_gastrula
3456	PL18905	unchar-15591	Eumetazoa	blue2	embryonic_gastrula
3457	PL19142	unchar-6156	Bilateria	blue2	embryonic_gastrula
3458	PL19159	-	Parliv	blue2	embryonic_gastrula
3459	PL19165	rbcc1	Eumetazoa	blue2	embryonic_gastrula
3460	PL19455	pxdn-3	Eumetazoa	blue2	embryonic_gastrula
3461	PL19781	unchar-7726	Parliv	blue2	embryonic_gastrula
3462	PL19915	unchar-20859	Parliv	blue2	embryonic_gastrula
3463	PL20172	kiaa1772l	Eumetazoa	blue2	embryonic_gastrula
3464	PL20225	tpr-2	Eumetazoa	blue2	embryonic_gastrula
3465	PL20366	krem2-1	Eumetazoa	blue2	embryonic_gastrula
3466	PL20715	ccm2	Bilateria	blue2	embryonic_gastrula
3467	PL21385	stac3-1	Eumetazoa	blue2	embryonic_gastrula
3468	PL21483	unchar-14308	Parliv	blue2	embryonic_gastrula
3469	PL21531	rtjk-24	Eumetazoa	blue2	embryonic_gastrula
3470	PL21535	cpsf1-1	Eumetazoa	blue2	embryonic_gastrula
3471	PL21624	unchar-10362	Parliv	blue2	embryonic_gastrula
3472	PL21658	cabin1	Eumetazoa	blue2	embryonic_gastrula
3473	PL21727	aatf	Eumetazoa	blue2	embryonic_gastrula
3474	PL22073	vcpip1	Eumetazoa	blue2	embryonic_gastrula
3475	PL22178	unchar-22787	Parliv	blue2	embryonic_gastrula
3476	PL22281	unchar-5084	Eumetazoa	blue2	embryonic_gastrula
3477	PL22479	lrr1	Eumetazoa	blue2	embryonic_gastrula
3478	PL22965	ash2	Eumetazoa	blue2	embryonic_gastrula
3479	PL23096	unchar-20190	Parliv	blue2	embryonic_gastrula
3480	PL23239	unchar-24341	Eumetazoa	blue2	embryonic_gastrula
3481	PL23457	unchar-35	Parliv	blue2	embryonic_gastrula
3482	PL24011	kmanl-2	Eumetazoa	blue2	embryonic_gastrula
3483	PL24192	ams-1	Eumetazoa	blue2	embryonic_gastrula
3484	PL24438	ccnc	Eumetazoa	blue2	embryonic_gastrula
3485	PL24483	unchar-1619	Eumetazoa	blue2	embryonic_gastrula
3486	PL24487	xrra1l	Eumetazoa	blue2	embryonic_gastrula
