s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi	clg	s1tot	s2tot	n	fishp	padj	scol
3841	PL21462	16267694	chrom4	3591	L_var_25832	3164426	chr18	12101	NA	728	418	392	0	0	S
3842	PL23012	16296027	chrom4	3592	L_var_25828	2984249	chr18	12100	Q	728	418	392	0	0	S
3843	PL23584	16296063	chrom4	3593	L_var_25827	2983912	chr18	12099	Q	728	418	392	0	0	S
3844	PL23156	16427296	chrom4	3594	L_var_25826	2965990	chr18	12098	NA	728	418	392	0	0	S
3845	PL21937	16437584	chrom4	3595	L_var_25823	2937051	chr18	12096	NA	728	418	392	0	0	S
3846	PL21706	16438146	chrom4	3596	L_var_25824	2940829	chr18	12097	NA	728	418	392	0	0	S
3847	PL22089	16479966	chrom4	3597	L_var_25822	2900363	chr18	12095	NA	728	418	392	0	0	S
3848	PL22234	16697885	chrom4	3600	L_var_25816	2712151	chr18	12093	Q	728	418	392	0	0	S
3849	PL21867	16760910	chrom4	3601	L_var_25815	2633772	chr18	12092	Q	728	418	392	0	0	S
3850	PL21535	16794157	chrom4	3602	L_var_25813	2600804	chr18	12090	D	728	418	392	0	0	S
3851	PL22975	16925256	chrom4	3603	L_var_25810	2551068	chr18	12089	D	728	418	392	0	0	S
3852	PL21902	16925823	chrom4	3604	L_var_25811	2547957	chr18	12088	NA	728	418	392	0	0	S
3853	PL22501	17010809	chrom4	3605	L_var_25809	2527308	chr18	12087	Q	728	418	392	0	0	S
3854	PL22484	17032967	chrom4	3606	L_var_25808	2495472	chr18	12086	NA	728	418	392	0	0	S
3855	PL22406	17064200	chrom4	3607	L_var_25806	2323468	chr18	12085	NA	728	418	392	0	0	S
3856	PL23057	17337439	chrom4	3608	L_var_25805	2240148	chr18	12084	Q	728	418	392	0	0	S
3857	PL23276	17349069	chrom4	3609	L_var_25804	2223885	chr18	12083	Q	728	418	392	0	0	S
3858	PL22191	17448193	chrom4	3610	L_var_25801	2122270	chr18	12081	NA	728	418	392	0	0	S
3859	PL22368	17448754	chrom4	3611	L_var_25803	2172046	chr18	12082	NA	728	418	392	0	0	S
3860	PL22417	17501037	chrom4	3613	L_var_25800	2081802	chr18	12080	NA	728	418	392	0	0	S
3861	PL22006	17521913	chrom4	3614	L_var_25799	2048917	chr18	12079	NA	728	418	392	0	0	S
3862	PL22339	17537510	chrom4	3615	L_var_25797	2016036	chr18	12078	NA	728	418	392	0	0	S
3863	PL22996	17564539	chrom4	3616	L_var_25796	2001826	chr18	12077	NA	728	418	392	0	0	S
3864	PL21739	17580970	chrom4	3617	L_var_25795	1997699	chr18	12076	Q	728	418	392	0	0	S
3865	PL23071	17850827	chrom4	3618	L_var_25788	1813238	chr18	12073	NA	728	418	392	0	0	S
3866	PL22032	17858765	chrom4	3619	L_var_25787	1802938	chr18	12072	NA	728	418	392	0	0	S
3867	PL21688	17893133	chrom4	3620	L_var_25786	1776251	chr18	12071	NA	728	418	392	0	0	S
3868	PL22314	17899504	chrom4	3621	L_var_25783	1733336	chr18	12070	NA	728	418	392	0	0	S
3869	PL22245	18082683	chrom4	3622	L_var_25778	1643546	chr18	12068	NA	728	418	392	0	0	S
3870	PL21897	18137145	chrom4	3623	L_var_25775	1586241	chr18	12067	NA	728	418	392	0	0	S
3871	PL21502	18230431	chrom4	3624	L_var_25774	1503256	chr18	12066	Q	728	418	392	0	0	S
3872	PL22987	18357281	chrom4	3625	L_var_26363	19843815	chr18	12394	Q	728	418	392	0	0	S
3873	PL22146	18404748	chrom4	3626	L_var_26362	19818691	chr18	12393	NA	728	418	392	0	0	S
3874	PL23376	18632133	chrom4	3627	L_var_26368	20136380	chr18	12396	Q	728	418	392	0	0	S
3875	PL23430	18650713	chrom4	3628	L_var_25770	1172961	chr18	12063	NA	728	418	392	0	0	S
3876	PL21369	18813214	chrom4	3629	L_var_25771	1287396	chr18	12064	Q	728	418	392	0	0	S
3877	PL22025	18874675	chrom4	3630	L_var_25772	1408570	chr18	12065	Q	728	418	392	0	0	S
3878	PL22385	18914425	chrom4	3631	L_var_26085	10756896	chr18	12241	NA	728	418	392	0	0	S
3879	PL22915	18967409	chrom4	3632	L_var_26084	10711887	chr18	12240	NA	728	418	392	0	0	S
3880	PL22871	19034865	chrom4	3633	L_var_26079	10611470	chr18	12238	NA	728	418	392	0	0	S
3881	PL23178	19065663	chrom4	3634	L_var_26080	10635804	chr18	12239	NA	728	418	392	0	0	S
3882	PL23176	19080344	chrom4	3635	L_var_26476	24084055	chr18	12467	NA	728	418	392	0	0	S
3883	PL21564	19112786	chrom4	3636	L_var_26143	12671850	chr18	12267	NA	728	418	392	0	0	S
3884	PL21479	19161559	chrom4	3637	L_var_26142	12643055	chr18	12266	Q	728	418	392	0	0	S
3885	PL22827	19180454	chrom4	3638	L_var_26287	17535680	chr18	12350	Q	728	418	392	0	0	S
3886	PL23115	19251438	chrom4	3639	L_var_26286	17455617	chr18	12349	Q	728	418	392	0	0	S
3887	PL23059	19282046	chrom4	3640	L_var_26285	17446003	chr18	12348	Q	728	418	392	0	0	S
3888	PL23458	19580574	chrom4	3641	L_var_26283	17352457	chr18	12347	NA	728	418	392	0	0	S
3889	PL22357	19706990	chrom4	3642	L_var_26282	17275044	chr18	12346	NA	728	418	392	0	0	S
3890	PL23066	19727752	chrom4	3643	L_var_26281	17253503	chr18	12345	Q	728	418	392	0	0	S
3891	PL23103	19897924	chrom4	3644	L_var_26279	17082976	chr18	12344	Q	728	418	392	0	0	S
3892	PL23505	19950764	chrom4	3645	L_var_26427	22027025	chr18	12429	J1	728	418	392	0	0	S
3893	PL22125	20190505	chrom4	3646	L_var_26319	18265738	chr18	12367	Q	728	418	392	0	0	S
3894	PL21951	20305064	chrom4	3647	L_var_26139	12597062	chr18	12264	Q	728	418	392	0	0	S
3895	PL21404	20305792	chrom4	3648	L_var_26138	12594560	chr18	12263	L	728	418	392	0	0	S
3896	PL21754	20323237	chrom4	3649	L_var_26140	12615614	chr18	12265	NA	728	418	392	0	0	S
3897	PL22319	20384839	chrom4	3650	L_var_26428	22063302	chr18	12430	NA	728	418	392	0	0	S
3898	PL22657	20510790	chrom4	3651	L_var_26090	11199678	chr18	12245	NA	728	418	392	0	0	S
3899	PL21859	20745927	chrom4	3652	L_var_26088	11117992	chr18	12244	Q	728	418	392	0	0	S
3900	PL22660	20753831	chrom4	3653	L_var_26087	10852201	chr18	12243	Q	728	418	392	0	0	S
3901	PL23172	20862271	chrom4	3654	L_var_26086	10800275	chr18	12242	C2	728	418	392	0	0	S
3902	PL21619	21025537	chrom4	3655	L_var_26379	20567618	chr18	12403	Q	728	418	392	0	0	S
3903	PL22218	21112198	chrom4	3656	L_var_26384	20725328	chr18	12404	NA	728	418	392	0	0	S
3904	PL21773	21143744	chrom4	3657	L_var_26172	13650776	chr18	12290	E	728	418	392	0	0	S
3905	PL22002	21155890	chrom4	3658	L_var_26178	13915157	chr18	12293	Q	728	418	392	0	0	S
3906	PL23576	21500864	chrom4	3660	L_var_26302	17800078	chr18	12359	Q	728	418	392	0	0	S
3907	PL22375	21513349	chrom4	3661	L_var_26301	17760721	chr18	12358	NA	728	418	392	0	0	S
3908	PL22907	21524858	chrom4	3662	L_var_26300	17748271	chr18	12357	NA	728	418	392	0	0	S
3909	PL21841	21555916	chrom4	3663	L_var_26298	17717249	chr18	12356	NA	728	418	392	0	0	S
3910	PL23506	21610833	chrom4	3664	L_var_26297	17714990	chr18	12355	NA	728	418	392	0	0	S
3911	PL22180	21642833	chrom4	3665	L_var_26293	17673332	chr18	12354	NA	728	418	392	0	0	S
3912	PL21444	21669589	chrom4	3666	L_var_26291	17648162	chr18	12352	NA	728	418	392	0	0	S
3913	PL22154	21761439	chrom4	3667	L_var_26288	17566648	chr18	12351	NA	728	418	392	0	0	S
3914	PL21602	21795880	chrom4	3668	L_var_26144	12693761	chr18	12268	NA	728	418	392	0	0	S
3915	PL21973	21813802	chrom4	3669	L_var_26145	12708263	chr18	12269	NA	728	418	392	0	0	S
3916	PL21311	21823457	chrom4	3670	L_var_26146	12715759	chr18	12270	NA	728	418	392	0	0	S
3917	PL22793	21913173	chrom4	3671	L_var_26147	12760496	chr18	12271	NA	728	418	392	0	0	S
3918	PL23453	22071796	chrom4	3672	L_var_26149	12897564	chr18	12273	C2	728	418	392	0	0	S
3919	PL23600	22074240	chrom4	3673	L_var_26150	12897887	chr18	12274	Q	728	418	392	0	0	S
3920	PL21770	22162472	chrom4	3674	L_var_26148	12820537	chr18	12272	Q	728	418	392	0	0	S
3921	PL22016	22232142	chrom4	3675	L_var_26151	13127093	chr18	12275	NA	728	418	392	0	0	S
3922	PL22628	22519288	chrom4	3676	L_var_26154	13166673	chr18	12276	NA	728	418	392	0	0	S
3923	PL22272	22530072	chrom4	3677	L_var_26156	13193620	chr18	12278	Q	728	418	392	0	0	S
3924	PL22787	22548897	chrom4	3678	L_var_26158	13224028	chr18	12279	Q	728	418	392	0	0	S
3925	PL23089	22602826	chrom4	3679	L_var_26159	13270328	chr18	12280	Q	728	418	392	0	0	S
3926	PL21635	22616372	chrom4	3680	L_var_26160	13280937	chr18	12281	Q	728	418	392	0	0	S
3927	PL22699	22626536	chrom4	3681	L_var_26162	13290420	chr18	12283	Q	728	418	392	0	0	S
3928	PL21435	22626557	chrom4	3682	L_var_26161	13288475	chr18	12282	Q	728	418	392	0	0	S
3929	PL22820	22660172	chrom4	3683	L_var_26164	13329655	chr18	12285	Q	728	418	392	0	0	S
3930	PL22184	22665421	chrom4	3684	L_var_26163	13327317	chr18	12284	Q	728	418	392	0	0	S
3931	PL22790	23010398	chrom4	3685	L_var_26165	13367433	chr18	12286	Q	728	418	392	0	0	S
3932	PL23585	23116808	chrom4	3686	L_var_26197	14552439	chr18	12300	NA	728	418	392	0	0	S
3933	PL21964	23224241	chrom4	3687	L_var_26175	13688502	chr18	12291	Q	728	418	392	0	0	S
3934	PL22950	32834077	chrom4	3826	L_var_25767	1076882	chr18	12060	Q	728	418	392	0	0	S
3935	PL23606	32856579	chrom4	3827	L_var_25768	1081813	chr18	12061	C2	728	418	392	0	0	S
3936	PL23473	32895552	chrom4	3828	L_var_25769	1151332	chr18	12062	Q	728	418	392	0	0	S
3937	PL22991	32944617	chrom4	3829	L_var_26446	22731573	chr18	12446	NA	728	418	392	0	0	S
3938	PL22938	33004879	chrom4	3830	L_var_26465	23430027	chr18	12461	J2	728	418	392	0	0	S
3939	PL21814	33019680	chrom4	3831	L_var_26464	23424401	chr18	12460	C1	728	418	392	0	0	S
3940	PL22041	33043377	chrom4	3832	L_var_26463	23404161	chr18	12459	Q	728	418	392	0	0	S
3941	PL23516	33201544	chrom4	3834	L_var_26462	23344996	chr18	12458	Q	728	418	392	0	0	S
3942	PL22595	33237584	chrom4	3835	L_var_26461	23313360	chr18	12457	Q	728	418	392	0	0	S
3943	PL22558	33491065	chrom4	3836	L_var_26460	23130855	chr18	12456	NA	728	418	392	0	0	S
3944	PL23162	33517141	chrom4	3837	L_var_26456	22989544	chr18	12455	Q	728	418	392	0	0	S
3945	PL23090	33675179	chrom4	3838	L_var_26455	22944538	chr18	12454	NA	728	418	392	0	0	S
3946	PL21399	33736172	chrom4	3839	L_var_26454	22896011	chr18	12453	Q	728	418	392	0	0	S
3947	PL22603	33820251	chrom4	3841	L_var_26450	22792914	chr18	12450	Q	728	418	392	0	0	S
3948	PL22823	33833874	chrom4	3842	L_var_26449	22784549	chr18	12449	NA	728	418	392	0	0	S
3949	PL23281	33833979	chrom4	3843	L_var_26448	22781560	chr18	12448	NA	728	418	392	0	0	S
3950	PL21889	33850608	chrom4	3844	L_var_26447	22751028	chr18	12447	NA	728	418	392	0	0	S
3951	PL23065	34411463	chrom4	3846	L_var_26067	10333770	chr18	12235	Q	728	418	392	0	0	S
3952	PL22020	34457450	chrom4	3847	L_var_26066	10303105	chr18	12234	NA	728	418	392	0	0	S
3953	PL21586	34493590	chrom4	3848	L_var_26065	10278426	chr18	12233	L	728	418	392	0	0	S
3954	PL22705	34493706	chrom4	3849	L_var_26063	10278169	chr18	12232	NA	728	418	392	0	0	S
3955	PL21965	34561189	chrom4	3850	L_var_26062	10239600	chr18	12231	NA	728	418	392	0	0	S
3956	PL22743	34635740	chrom4	3851	L_var_26445	22682004	chr18	12445	Q	728	418	392	0	0	S
3957	PL21397	34650442	chrom4	3852	L_var_26444	22672969	chr18	12444	Q	728	418	392	0	0	S
3958	PL22487	34976799	chrom4	3853	L_var_26443	22657105	chr18	12443	NA	728	418	392	0	0	S
3959	PL22947	35210030	chrom4	3854	L_var_26442	22608999	chr18	12442	Q	728	418	392	0	0	S
3960	PL23143	35350355	chrom4	3855	L_var_26441	22374642	chr18	12441	Q	728	418	392	0	0	S
3961	PL21642	35374058	chrom4	3856	L_var_26440	22348130	chr18	12440	Q	728	418	392	0	0	S
3962	PL21850	35461870	chrom4	3858	L_var_26439	22343941	chr18	12439	C2	728	418	392	0	0	S
3963	PL22311	35553594	chrom4	3859	L_var_26438	22279980	chr18	12438	C2	728	418	392	0	0	S
3964	PL22961	35579986	chrom4	3860	L_var_26437	22226371	chr18	12437	NA	728	418	392	0	0	S
3965	PL23273	35610794	chrom4	3861	L_var_26435	22201310	chr18	12436	Q	728	418	392	0	0	S
3966	PL23353	35646341	chrom4	3862	L_var_26433	22140501	chr18	12434	NA	728	418	392	0	0	S
3967	PL22381	35647679	chrom4	3863	L_var_26432	22135071	chr18	12433	NA	728	418	392	0	0	S
3968	PL22515	35694501	chrom4	3864	L_var_26431	22124890	chr18	12432	NA	728	418	392	0	0	S
3969	PL21746	35712501	chrom4	3865	L_var_26429	22102845	chr18	12431	Q	728	418	392	0	0	S
3970	PL22135	35756885	chrom4	3866	L_var_25897	5472939	chr18	12134	NA	728	418	392	0	0	S
3971	PL22208	35775481	chrom4	3868	L_var_26019	9162228	chr18	12209	NA	728	418	392	0	0	S
3972	PL23595	35790110	chrom4	3869	L_var_25896	5465396	chr18	12133	NA	728	418	392	0	0	S
3973	PL22734	35810528	chrom4	3870	L_var_25894	5436252	chr18	12132	NA	728	418	392	0	0	S
3974	PL22926	35858353	chrom4	3871	L_var_25891	5363460	chr18	12131	NA	728	418	392	0	0	S
3975	PL22988	35858420	chrom4	3872	L_var_26318	18215437	chr18	12366	NA	728	418	392	0	0	S
3976	PL23497	35882446	chrom4	3873	L_var_25759	887283	chr18	12053	NA	728	418	392	0	0	S
3977	PL22984	36124372	chrom4	3874	L_var_26316	18172878	chr18	12365	NA	728	418	392	0	0	S
3978	PL22883	37252015	chrom4	3893	L_var_26418	21679331	chr18	12424	NA	728	418	392	0	0	S
3979	PL23271	37318191	chrom4	3894	L_var_26390	20897541	chr18	12405	B3	728	418	392	0	0	S
3980	PL22317	37355211	chrom4	3895	L_var_26393	20976334	chr18	12407	Q	728	418	392	0	0	S
3981	PL22869	37462898	chrom4	3896	L_var_26396	21008510	chr18	12408	C2	728	418	392	0	0	S
3982	PL22477	37500045	chrom4	3897	L_var_26397	21040807	chr18	12409	Q	728	418	392	0	0	S
3983	PL21416	37504962	chrom4	3898	L_var_26398	21044917	chr18	12410	NA	728	418	392	0	0	S
3984	PL21758	37610885	chrom4	3899	L_var_26400	21117005	chr18	12411	Q	728	418	392	0	0	S
3985	PL22803	37629407	chrom4	3900	L_var_26401	21125115	chr18	12412	NA	728	418	392	0	0	S
3986	PL23083	37838863	chrom4	3901	L_var_26404	21222384	chr18	12415	Q	728	418	392	0	0	S
3987	PL21663	37868844	chrom4	3902	L_var_26405	21264605	chr18	12416	Q	728	418	392	0	0	S
3988	PL22689	37905361	chrom4	3903	L_var_26408	21359817	chr18	12418	NA	728	418	392	0	0	S
3989	PL22805	38054015	chrom4	3904	L_var_26407	21342234	chr18	12417	Q	728	418	392	0	0	S
3990	PL21605	38085864	chrom4	3905	L_var_26409	21394963	chr18	12419	Q	728	418	392	0	0	S
3991	PL23359	38232161	chrom4	3906	L_var_26412	21479310	chr18	12420	NA	728	418	392	0	0	S
3992	PL22080	38286901	chrom4	3907	L_var_26415	21550103	chr18	12421	NA	728	418	392	0	0	S
3993	PL23113	38378524	chrom4	3908	L_var_26416	21603310	chr18	12422	F	728	418	392	0	0	S
3994	PL22435	38391317	chrom4	3909	L_var_26417	21644132	chr18	12423	NA	728	418	392	0	0	S
3995	PL22655	39095786	chrom4	3915	L_var_26181	13984211	chr18	12294	Q	728	418	392	0	0	S
3996	PL21398	39240781	chrom4	3916	L_var_26185	14121277	chr18	12295	NA	728	418	392	0	0	S
3997	PL23543	39325224	chrom4	3917	L_var_26186	14155391	chr18	12296	Q	728	418	392	0	0	S
3998	PL21560	39344560	chrom4	3918	L_var_25853	3658199	chr18	12106	Q	728	418	392	0	0	S
3999	PL21781	39503669	chrom4	3919	L_var_25854	3714071	chr18	12107	Q	728	418	392	0	0	S
4000	PL22284	39506342	chrom4	3920	L_var_25855	3743852	chr18	12108	NA	728	418	392	0	0	S
4001	PL21868	39750982	chrom4	3921	L_var_25856	3956249	chr18	12109	Q	728	418	392	0	0	S
4002	PL21865	39833409	chrom4	3922	L_var_25857	4013878	chr18	12110	NA	728	418	392	0	0	S
4003	PL21725	39859055	chrom4	3923	L_var_25859	4039544	chr18	12111	Q	728	418	392	0	0	S
4004	PL21509	39946913	chrom4	3924	L_var_25860	4084638	chr18	12112	N	728	418	392	0	0	S
4005	PL22275	40001507	chrom4	3925	L_var_25864	4248853	chr18	12113	Q	728	418	392	0	0	S
4006	PL21436	40157418	chrom4	3926	L_var_25865	4330873	chr18	12114	Q	728	418	392	0	0	S
4007	PL22770	40174685	chrom4	3927	L_var_25867	4377600	chr18	12115	Q	728	418	392	0	0	S
4008	PL21824	40177323	chrom4	3928	L_var_25868	4387765	chr18	12116	NA	728	418	392	0	0	S
4009	PL23060	40213026	chrom4	3929	L_var_25870	4432767	chr18	12117	G	728	418	392	0	0	S
4010	PL21537	40223077	chrom4	3930	L_var_26136	12478148	chr18	12262	Q	728	418	392	0	0	S
4011	PL22932	40547826	chrom4	3931	L_var_26468	23545087	chr18	12462	Q	728	418	392	0	0	S
4012	PL23455	40651326	chrom4	3932	L_var_26469	23631132	chr18	12463	NA	728	418	392	0	0	S
4013	PL21901	40975852	chrom4	3933	L_var_26472	23796499	chr18	12464	NA	728	418	392	0	0	S
4014	PL22535	41174077	chrom4	3934	L_var_26474	23971349	chr18	12465	B3	728	418	392	0	0	S
4015	PL23477	41326113	chrom4	3935	L_var_26192	14483472	chr18	12299	NA	728	418	392	0	0	S
4016	PL22590	41561444	chrom4	3936	L_var_26421	21795563	chr18	12425	Q	728	418	392	0	0	S
4017	PL22468	41597652	chrom4	3937	L_var_26422	21892298	chr18	12426	NA	728	418	392	0	0	S
4018	PL21846	41605226	chrom4	3938	L_var_26424	21906063	chr18	12427	NA	728	418	392	0	0	S
4019	PL21970	41719865	chrom4	3939	L_var_26426	21923882	chr18	12428	Q	728	418	392	0	0	S
4020	PL22313	41777034	chrom4	3940	L_var_25887	5157825	chr18	12130	Q	728	418	392	0	0	S
4021	PL22296	42075036	chrom4	3941	L_var_25884	4915639	chr18	12129	G	728	418	392	0	0	S
4022	PL21322	42141962	chrom4	3942	L_var_25882	4882082	chr18	12128	NA	728	418	392	0	0	S
4023	PL23514	42141970	chrom4	3943	L_var_25881	4873776	chr18	12127	NA	728	418	392	0	0	S
4024	PL21803	42201696	chrom4	3944	L_var_25880	4747890	chr18	12126	Q	728	418	392	0	0	S
4025	PL23142	42210265	chrom4	3945	L_var_25879	4745137	chr18	12125	Q	728	418	392	0	0	S
4026	PL22321	42310177	chrom4	3946	L_var_25874	4607394	chr18	12121	Q	728	418	392	0	0	S
4027	PL22513	42340131	chrom4	3947	L_var_25873	4559974	chr18	12120	Q	728	418	392	0	0	S
4028	PL21533	42376166	chrom4	3948	L_var_25872	4496250	chr18	12119	NA	728	418	392	0	0	S
4029	PL23038	42464222	chrom4	3949	L_var_25871	4434672	chr18	12118	Q	728	418	392	0	0	S
4030	PL22780	42468521	chrom4	3950	L_var_26320	18319669	chr18	12368	NA	728	418	392	0	0	S
4031	PL21956	42505121	chrom4	3951	L_var_25876	4666952	chr18	12122	NA	728	418	392	0	0	S
4032	PL23155	42505402	chrom4	3952	L_var_25878	4679017	chr18	12124	Q	728	418	392	0	0	S
4033	PL21936	42557418	chrom4	3953	L_var_26214	14924018	chr18	12308	NA	728	418	392	0	0	S
4034	PL23336	42731302	chrom4	3956	L_var_25751	608737	chr18	12051	Q	728	418	392	0	0	S
4035	PL23194	42754423	chrom4	3957	L_var_25755	766685	chr18	12052	Q	728	418	392	0	0	S
4036	PL21310	42867145	chrom4	3958	L_var_25761	932393	chr18	12055	Q	728	418	392	0	0	S
4037	PL22828	43050369	chrom4	3961	L_var_26369	20215645	chr18	12397	Q	728	418	392	0	0	S
4038	PL21368	43133255	chrom4	3962	L_var_26373	20356683	chr18	12399	NA	728	418	392	0	0	S
4039	PL21470	43318297	chrom4	3963	L_var_25792	1882807	chr18	12075	NA	728	418	392	0	0	S
4040	PL22287	43333075	chrom4	3964	L_var_25791	1880302	chr18	12074	NA	728	418	392	0	0	S
4041	PL22079	43359854	chrom4	3965	L_var_26375	20530994	chr18	12400	C1	728	418	392	0	0	S
4042	PL22246	43522981	chrom4	3966	L_var_26377	20557386	chr18	12401	NA	728	418	392	0	0	S
4043	PL22994	43604576	chrom4	3967	L_var_26378	20562503	chr18	12402	NA	728	418	392	0	0	S
4044	PL22230	43671184	chrom4	3968	L_var_26357	19728339	chr18	12391	C2	728	418	392	0	0	S
4045	PL21794	44014159	chrom4	3969	L_var_26353	19656059	chr18	12388	NA	728	418	392	0	0	S
4046	PL21916	44022803	chrom4	3970	L_var_26352	19548616	chr18	12387	Q	728	418	392	0	0	S
4047	PL21433	44224242	chrom4	3971	L_var_26351	19377946	chr18	12386	NA	728	418	392	0	0	S
4048	PL23224	44291876	chrom4	3972	L_var_26350	19338646	chr18	12385	NA	728	418	392	0	0	S
4049	PL22924	44327277	chrom4	3973	L_var_26348	19290686	chr18	12384	Q	728	418	392	0	0	S
4050	PL22575	44370260	chrom4	3974	L_var_26347	19237645	chr18	12383	Q	728	418	392	0	0	S
4051	PL22432	44380039	chrom4	3975	L_var_26339	18806435	chr18	12378	O2	728	418	392	0	0	S
4052	PL22433	44416922	chrom4	3976	L_var_25750	574494	chr18	12050	NA	728	418	392	0	0	S
4053	PL22540	44624501	chrom4	3977	L_var_25748	483409	chr18	12049	NA	728	418	392	0	0	S
4054	PL22956	44729737	chrom4	3978	L_var_25747	217621	chr18	12048	Q	728	418	392	0	0	S
4055	PL22467	44885597	chrom4	3979	L_var_26344	19062075	chr18	12382	Q	728	418	392	0	0	S
4056	PL22878	47967307	chrom4	4041	L_var_25843	3441602	chr18	12103	NA	728	418	392	0	0	S
4057	PL23411	48095632	chrom4	4042	L_var_26340	18899630	chr18	12379	NA	728	418	392	0	0	S
4058	PL22945	48160514	chrom4	4043	L_var_26341	18917147	chr18	12380	NA	728	418	392	0	0	S
4059	PL23464	48192346	chrom4	4044	L_var_26342	18984365	chr18	12381	NA	728	418	392	0	0	S
4060	PL23342	49746409	chrom4	4060	L_var_26132	12412417	chr18	12261	NA	728	418	392	0	0	S
4061	PL22286	49881178	chrom4	4061	L_var_26126	12285104	chr18	12259	NA	728	418	392	0	0	S
4062	PL22232	50012132	chrom4	4062	L_var_26125	12200730	chr18	12258	NA	728	418	392	0	0	S
4063	PL21759	50113075	chrom4	4063	L_var_26105	11541798	chr18	12250	NA	728	418	392	0	0	S
4064	PL22992	50302738	chrom4	4065	L_var_26100	11485319	chr18	12249	Q	728	418	392	0	0	S
4065	PL23098	50305317	chrom4	4066	L_var_26109	11624047	chr18	12252	NA	728	418	392	0	0	S
4066	PL22507	50334618	chrom4	4067	L_var_26110	11650925	chr18	12253	NA	728	418	392	0	0	S
4067	PL22872	50362190	chrom4	4068	L_var_26111	11685863	chr18	12254	Q	728	418	392	0	0	S
4068	PL22551	50513537	chrom4	4069	L_var_26113	11902500	chr18	12255	NA	728	418	392	0	0	S
4069	PL21432	50696602	chrom4	4072	L_var_25762	965175	chr18	12056	O1	728	418	392	0	0	S
4070	PL22913	50723903	chrom4	4073	L_var_25764	1012124	chr18	12057	J1	728	418	392	0	0	S
4071	PL23614	50735107	chrom4	4074	L_var_25765	1016942	chr18	12058	Q	728	418	392	0	0	S
4072	PL21394	50777963	chrom4	4075	L_var_25921	6305079	chr18	12149	Q	728	418	392	0	0	S
4073	PL23404	50824405	chrom4	4076	L_var_25920	6232674	chr18	12148	Q	728	418	392	0	0	S
4074	PL22372	50903683	chrom4	4077	L_var_25917	6129261	chr18	12146	NA	728	418	392	0	0	S
4075	PL21655	50944494	chrom4	4078	L_var_25918	6168303	chr18	12147	NA	728	418	392	0	0	S
4076	PL23192	51128934	chrom4	4079	L_var_25913	5927097	chr18	12144	NA	728	418	392	0	0	S
4077	PL23171	51352750	chrom4	4080	L_var_25914	6033195	chr18	12145	Q	728	418	392	0	0	S
4078	PL23105	51516252	chrom4	4082	L_var_25912	5901117	chr18	12143	NA	728	418	392	0	0	S
4079	PL22280	51538894	chrom4	4083	L_var_25911	5879075	chr18	12142	J1	728	418	392	0	0	S
4080	PL23344	51562107	chrom4	4084	L_var_25910	5841517	chr18	12141	NA	728	418	392	0	0	S
4081	PL23231	51574786	chrom4	4085	L_var_25908	5817312	chr18	12140	NA	728	418	392	0	0	S
4082	PL22955	51638318	chrom4	4086	L_var_25907	5761783	chr18	12139	NA	728	418	392	0	0	S
4083	PL22187	51700248	chrom4	4087	L_var_25906	5757880	chr18	12138	B1	728	418	392	0	0	S
4084	PL22695	51770945	chrom4	4088	L_var_25905	5700320	chr18	12137	C2	728	418	392	0	0	S
4085	PL21774	51819744	chrom4	4089	L_var_25903	5661215	chr18	12136	Q	728	418	392	0	0	S
4086	PL21567	51890338	chrom4	4090	L_var_25902	5545591	chr18	12135	NA	728	418	392	0	0	S
4087	PL23123	52092020	chrom4	4091	L_var_26094	11319414	chr18	12246	C1	728	418	392	0	0	S
4088	PL22110	52159679	chrom4	4092	L_var_26096	11391183	chr18	12247	Q	728	418	392	0	0	S
4089	PL21823	52217335	chrom4	4093	L_var_26099	11447329	chr18	12248	B1	728	418	392	0	0	S
4090	PL22150	52249350	chrom4	4094	L_var_26106	11593770	chr18	12251	Q	728	418	392	0	0	S
4091	PL23249	4634848	chrom4	3414	L_var_26877	12035102	chr19	12662	NA	728	334	4	0.999988250917581	1	NS
4092	PL22854	25416875	chrom4	3721	L_var_26873	11995784	chr19	12660	NA	728	334	4	0.999988250917581	1	NS
4093	PL23056	26684537	chrom4	3741	L_var_26534	1471374	chr19	12490	NA	728	334	4	0.999988250917581	1	NS
4094	PL23531	46688960	chrom4	4013	L_var_27192	22874143	chr19	12811	B1	728	334	4	0.999988250917581	1	NS
4095	PL29577	91069	chrom5	4095	L_var_01804	62982944	chr1	832	J1	789	1390	753	0	0	S
4096	PL29623	170701	chrom5	4096	L_var_01636	57597574	chr1	784	J1	789	1390	753	0	0	S
4097	PL29289	170896	chrom5	4097	L_var_01637	57597902	chr1	785	NA	789	1390	753	0	0	S
4098	PL30266	197093	chrom5	4098	L_var_01638	57623556	chr1	786	J1	789	1390	753	0	0	S
4099	PL29718	207249	chrom5	4099	L_var_01808	63102324	chr1	833	NA	789	1390	753	0	0	S
4100	PL28702	245538	chrom5	4100	L_var_01809	63103363	chr1	834	NA	789	1390	753	0	0	S
4101	PL29437	250422	chrom5	4101	L_var_01641	57674980	chr1	787	J1	789	1390	753	0	0	S
4102	PL29834	267102	chrom5	4102	L_var_01573	55404755	chr1	747	B3	789	1390	753	0	0	S
