s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi	clg	CLG2
BL07615	23487898	BFL_2	1296	g86529	33888372	scaffold_17	4694	CLGC	CLGC
BL07616	23499216	BFL_2	1297	g85917	30859150	scaffold_17	4671	CLGC	CLGC
BL07617	23511068	BFL_2	1298	g85910	30828790	scaffold_17	4670	CLGC	CLGC
BL07618	23523621	BFL_2	1299	g84654	24730214	scaffold_17	4612	CLGC	CLGC
BL07619	23525768	BFL_2	1300	g88309	42561707	scaffold_17	4773	CLGC	CLGC
BL07620	23551188	BFL_2	1301	g88824	45499589	scaffold_17	4795	CLGC	CLGC
BL07768	26229316	BFL_2	1373	g81387	9068175	scaffold_17	4448	CLGC	CLGC
BL07773	26334542	BFL_2	1375	g88786	45267288	scaffold_17	4793	CLGC	CLGC
BL07787	26521598	BFL_2	1377	g82085	12350024	scaffold_17	4476	CLGC	CLGC
BL07793	26605570	BFL_2	1378	g82667	15138882	scaffold_17	4501	CLGC	CLGC
BL07794	26666015	BFL_2	1379	g85169	27318592	scaffold_17	4642	CLGC	CLGC
BL07795	26668289	BFL_2	1380	g83898	21134883	scaffold_17	4566	CLGC	CLGC
BL07796	26675934	BFL_2	1381	g86368	32997658	scaffold_17	4686	CLGC	CLGC
BL07818	27098613	BFL_2	1382	g83937	21280651	scaffold_17	4571	CLGC	CLGC
BL07819	27117495	BFL_2	1383	g82030	12118969	scaffold_17	4475	CLGC	CLGC
BL07821	27144360	BFL_2	1384	g84041	21837704	scaffold_17	4577	CLGC	CLGC
BL07826	27210735	BFL_2	1386	g79488	1459598	scaffold_17	4409	CLGC	CLGC
BL21201	27261696	BFL_2	1387	g79479	1430904	scaffold_17	4407	CLGC	CLGC
BL07827	27264876	BFL_2	1388	g88687	44549726	scaffold_17	4786	CLGC	CLGC
BL07831	27315004	BFL_2	1390	g83373	18295243	scaffold_17	4532	CLGC	CLGC
BL07832	27325723	BFL_2	1391	g84451	23662364	scaffold_17	4603	CLGC	CLGC
BL07833	27345948	BFL_2	1392	g84449	23643996	scaffold_17	4602	CLGC	CLGC
BL07858	27635652	BFL_2	1395	g85310	28086765	scaffold_17	4652	CLGC	CLGC
BL07859	27646004	BFL_2	1396	g87741	39835349	scaffold_17	4749	CLGC	CLGC
BL07875	28021225	BFL_2	1400	g87061	36644313	scaffold_17	4724	CLGC	CLGC
BL07879	28055453	BFL_2	1401	g84906	25917115	scaffold_17	4629	CLGC	CLGC
BL07883	28100912	BFL_2	1403	g81300	8649715	scaffold_17	4445	CLGC	CLGC
BL07885	28201611	BFL_2	1404	g88000	40902235	scaffold_17	4757	CLGC	CLGC
BL07886	28210927	BFL_2	1405	g84310	23065631	scaffold_17	4595	CLGC	CLGC
BL07895	28495059	BFL_2	1406	g80421	5171227	scaffold_17	4428	CLGC	CLGC
BL07897	28517164	BFL_2	1407	g82603	14779633	scaffold_17	4497	CLGC	CLGC
BL07905	28611408	BFL_2	1409	g82096	12398328	scaffold_17	4477	CLGC	CLGC
BL07909	28630859	BFL_2	1410	g84494	23816227	scaffold_17	4608	CLGC	CLGC
BL07910	28635338	BFL_2	1411	g86040	31361147	scaffold_17	4674	CLGC	CLGC
BL07915	28843424	BFL_2	1413	g82331	13572148	scaffold_17	4485	CLGC	CLGC
BL07916	28854918	BFL_2	1414	g82595	14708595	scaffold_17	4496	CLGC	CLGC
BL07922	28976602	BFL_2	1415	g84724	25102565	scaffold_17	4619	CLGC	CLGC
BL07923	28997936	BFL_2	1416	g84710	25026877	scaffold_17	4618	CLGC	CLGC
BL07926	29059465	BFL_2	1417	g84702	24967600	scaffold_17	4617	CLGC	CLGC
BL07940	29254446	BFL_2	1421	g84423	23512543	scaffold_17	4600	CLGC	CLGC
BL07942	29306531	BFL_2	1422	g87597	39155670	scaffold_17	4745	CLGC	CLGC
BL07943	29331380	BFL_2	1423	g86958	36113606	scaffold_17	4721	CLGC	CLGC
BL07948	29398578	BFL_2	1425	g85269	27725976	scaffold_17	4649	CLGC	CLGC
BL07950	29476499	BFL_2	1426	g85279	27791197	scaffold_17	4650	CLGC	CLGC
BL07951	29506902	BFL_2	1427	g85288	27861823	scaffold_17	4651	CLGC	CLGC
BL07961	29690284	BFL_2	1431	g84208	22552910	scaffold_17	4591	CLGC	CLGC
BL07962	29714863	BFL_2	1432	g84207	22552628	scaffold_17	4590	CLGC	CLGC
BL07964	29798548	BFL_2	1433	g84471	23728924	scaffold_17	4606	CLGC	CLGC
BL07969	29844280	BFL_2	1435	g86908	35952172	scaffold_17	4719	CLGC	CLGC
BL07971	29857878	BFL_2	1436	g88366	42763542	scaffold_17	4775	CLGC	CLGC
BL07973	29948248	BFL_2	1437	g80065	3789447	scaffold_17	4421	CLGC	CLGC
BL07978	30006269	BFL_2	1439	g88135	41532905	scaffold_17	4765	CLGC	CLGC
BL07985	30132067	BFL_2	1440	g85253	27661714	scaffold_17	4648	CLGC	CLGC
BL07986	30154821	BFL_2	1441	g88765	45104909	scaffold_17	4789	CLGC	CLGC
BL07987	30179144	BFL_2	1442	g79976	3361668	scaffold_17	4412	CLGC	CLGC
BL25338	30544337	BFL_2	1448	g79339	831746	scaffold_17	4397	CLGC	CLGC
BL25336	30630400	BFL_2	1449	g85023	26439111	scaffold_17	4635	CLGC	CLGC
BL25310	31221975	BFL_2	1454	g88101	41399786	scaffold_17	4764	CLGC	CLGC
BL25309	31277261	BFL_2	1455	g83421	18542928	scaffold_17	4534	CLGC	CLGC
BL25303	31489944	BFL_2	1458	g83535	19076213	scaffold_17	4539	CLGC	CLGC
BL25282	31721581	BFL_2	1460	g83614	19528263	scaffold_17	4541	CLGC	CLGC
BL25279	31789164	BFL_2	1461	g88677	44487661	scaffold_17	4784	CLGC	CLGC
BL25264	32305212	BFL_2	1462	g84161	22347707	scaffold_17	4584	CLGC	CLGC
BL25263	32313955	BFL_2	1463	g88189	41767105	scaffold_17	4769	CLGC	CLGC
BL25258	32428235	BFL_2	1464	g86656	34508386	scaffold_17	4703	CLGC	CLGC
BL25254	32450183	BFL_2	1465	g83751	20322174	scaffold_17	4555	CLGC	CLGC
BL25247	32570237	BFL_2	1467	g80212	4268065	scaffold_17	4424	CLGC	CLGC
BL25246	32622429	BFL_2	1468	g86567	34157727	scaffold_17	4698	CLGC	CLGC
BL25243	32643075	BFL_2	1469	g86564	34136691	scaffold_17	4697	CLGC	CLGC
BL25241	32751157	BFL_2	1470	g86552	34038389	scaffold_17	4696	CLGC	CLGC
BL25236	32978733	BFL_2	1471	g79541	1670982	scaffold_17	4410	CLGC	CLGC
BL25233	33026880	BFL_2	1472	g86882	35840653	scaffold_17	4718	CLGC	CLGC
BL25230	33279917	BFL_2	1474	g88006	40977106	scaffold_17	4759	CLGC	CLGC
BL25229	33317734	BFL_2	1475	g88002	40939444	scaffold_17	4758	CLGC	CLGC
BL25228	33336615	BFL_2	1476	g81613	10006983	scaffold_17	4459	CLGC	CLGC
BL25227	33401341	BFL_2	1477	g81600	9968883	scaffold_17	4458	CLGC	CLGC
BL25222	33471899	BFL_2	1479	g86165	31903537	scaffold_17	4678	CLGC	CLGC
BL25213	33738100	BFL_2	1480	g86500	33688500	scaffold_17	4693	CLGC	CLGC
BL25212	33756663	BFL_2	1481	g82768	15444693	scaffold_17	4508	CLGC	CLGC
BL25205	33859112	BFL_2	1482	g84922	25984856	scaffold_17	4631	CLGC	CLGC
BL25184	34206219	BFL_2	1484	g84063	21962070	scaffold_17	4578	CLGC	CLGC
BL25176	34344625	BFL_2	1485	g83584	19337344	scaffold_17	4540	CLGC	CLGC
BL25168	34553930	BFL_2	1486	g87645	39315415	scaffold_17	4747	CLGC	CLGC
BL25162	34647139	BFL_2	1487	g85503	28911974	scaffold_17	4662	CLGC	CLGC
BL25158	34682685	BFL_2	1488	g85477	28819593	scaffold_17	4661	CLGC	CLGC
BL25135	34982233	BFL_2	1491	g87310	37909284	scaffold_17	4732	CLGC	CLGC
BL25134	35029306	BFL_2	1492	g86795	35393510	scaffold_17	4709	CLGC	CLGC
BL25132	35046568	BFL_2	1493	g87189	37242564	scaffold_17	4730	CLGC	CLGC
BL25129	35080953	BFL_2	1494	g84799	25462264	scaffold_17	4623	CLGC	CLGC
BL25128	35086325	BFL_2	1495	g84797	25451476	scaffold_17	4622	CLGC	CLGC
BL15946	8421637	BFL_2	928	g145332	13179558	scaffold_3	4902	CLGC	CLGC
BL15942	8520076	BFL_2	929	g149649	32084065	scaffold_3	5067	CLGC	CLGC
BL15941	8528781	BFL_2	930	g143223	2911875	scaffold_3	4812	CLGC	CLGC
BL15931	8686799	BFL_2	938	g143731	5380367	scaffold_3	4840	CLGC	CLGC
BL15924	8710933	BFL_2	939	g149207	30167793	scaffold_3	5056	CLGC	CLGC
BL00523	9370459	BFL_2	954	g150691	36723823	scaffold_3	5117	CLGC	CLGC
BL03296	10637064	BFL_2	977	g149523	31673834	scaffold_3	5065	CLGC	CLGC
BL06871	11234983	BFL_2	986	g143345	3685492	scaffold_3	4820	CLGJ	CLGJ
BL06945	12454363	BFL_2	1009	g147540	22919863	scaffold_3	4991	CLGJ	CLGJ
BL07029	14006602	BFL_2	1031	g145301	13015562	scaffold_3	4898	CLGJ	CLGJ
BL07104	15789547	BFL_2	1057	g143638	4911172	scaffold_3	4830	CLGC	CLGC
BL07121	15982640	BFL_2	1069	g145508	14091946	scaffold_3	4905	CLGC	CLGC
BL07147	16459892	BFL_2	1082	g149657	32108600	scaffold_3	5068	CLGC	CLGC
BL07259	18267734	BFL_2	1128	g143686	5206029	scaffold_3	4835	CLGC	CLGC
BL07334	19463366	BFL_2	1163	g144371	8758374	scaffold_3	4862	CLGC	CLGC
BL07355	19768721	BFL_2	1175	g143571	4613603	scaffold_3	4824	CLGC	CLGC
BL07367	19926284	BFL_2	1179	g145211	12685940	scaffold_3	4891	CLGC	CLGC
BL07395	20458672	BFL_2	1200	g143613	4809102	scaffold_3	4828	CLGC	CLGC
BL07611	23443137	BFL_2	1293	g152520	44118063	scaffold_3	5181	CLGC	CLGC
BL07724	25528667	BFL_2	1356	g147417	22380539	scaffold_3	4984	CLGJ	CLGJ
BL07898	28549544	BFL_2	1408	g151142	38423664	scaffold_3	5133	CLGC	CLGC
BL25200	33944905	BFL_2	1483	g150368	35326803	scaffold_3	5103	CLGC	CLGC
BL05613	3907531	BFL_2	866	g63629	28863479	scaffold_15	5486	CLGC	CLGC
BL15846	5839432	BFL_2	893	g66223	41017783	scaffold_15	5643	CLGC	CLGC
BL15886	6774489	BFL_2	905	g63611	28787650	scaffold_15	5485	CLGC	CLGC
BL06978	13005730	BFL_2	1016	g62752	24692782	scaffold_15	5433	CLGJ	CLGJ
BL07064	15137635	BFL_2	1040	g57251	1313935	scaffold_15	5188	CLGJ	CLGJ
BL07759	26036144	BFL_2	1372	g62594	23876628	scaffold_15	5418	CLGC	CLGC
BL07828	27287982	BFL_2	1389	g66708	43530517	scaffold_15	5657	CLGC	CLGC
BL03533	548555	BFL_2	818	g119971	28821058	scaffold_1	5945	CLGC	CLGC
BL05649	3295881	BFL_2	855	g117380	16772297	scaffold_1	5837	CLGC	CLGC
BL05648	3315010	BFL_2	856	g114763	6243792	scaffold_1	5736	CLGC	CLGC
BL06987	13281431	BFL_2	1019	g116201	12345037	scaffold_1	5781	CLGJ	CLGJ
BL07238	17733494	BFL_2	1118	g120311	30609849	scaffold_1	5957	CLGC	CLGC
BL07469	21448816	BFL_2	1229	g121388	35396998	scaffold_1	5992	CLGC	CLGC
BL07506	21990393	BFL_2	1247	g117565	17541034	scaffold_1	5845	CLGC	CLGC
BL07535	22363589	BFL_2	1261	g114232	4342725	scaffold_1	5716	CLGC	CLGC
BL07928	29093796	BFL_2	1419	g116871	14725763	scaffold_1	5804	CLGC	CLGC
BL25148	34827212	BFL_2	1489	g116823	14563054	scaffold_1	5802	CLGC	CLGC
BL15899	6924846	BFL_2	909	g53034	25568019	scaffold_14	6131	CLGC	CLGC
BL06937	12329668	BFL_2	1005	g54411	31338821	scaffold_14	6148	CLGJ	CLGJ
BL07017	13849152	BFL_2	1024	g52382	22470301	scaffold_14	6125	CLGJ	CLGJ
BL07262	18302139	BFL_2	1129	g51939	20566164	scaffold_14	6111	CLGC	CLGC
BL07591	23118752	BFL_2	1282	g50034	12427840	scaffold_14	6080	CLGC	CLGC
BL25358	30223864	BFL_2	1443	g56115	38369346	scaffold_14	6184	CLGC	CLGC
BL25357	30239275	BFL_2	1444	g49853	11752828	scaffold_14	6078	CLGC	CLGC
BL25352	30271347	BFL_2	1445	g55292	35036874	scaffold_14	6162	CLGC	CLGC
BL06982	13224782	BFL_2	1018	g169289	17047349	scaffold_5	6310	CLGJ	CLGJ
BL07644	23857788	BFL_2	1310	g169544	18433651	scaffold_5	6334	CLGC	CLGC
BL07741	25757728	BFL_2	1361	g168468	13455569	scaffold_5	6289	CLGJ	CLGJ
BL07757	25990926	BFL_2	1371	g165596	1064479	scaffold_5	6200	CLGC	CLGC
BL25145	34864195	BFL_2	1490	g166005	3010303	scaffold_5	6212	CLGC	CLGC
BL15828	5618024	BFL_2	888	g31261	26057853	scaffold_12	6681	CLGC	CLGC
BL03221	9291081	BFL_2	951	g30276	21766813	scaffold_12	6638	CLGC	CLGC
BL06869	11216215	BFL_2	985	g32969	33571537	scaffold_12	6745	CLGJ	CLGJ
BL06900	11699146	BFL_2	992	g31992	28822727	scaffold_12	6716	CLGJ	CLGJ
BL07230	17581022	BFL_2	1115	g30841	24227167	scaffold_12	6668	CLGC	CLGC
BL07374	20019743	BFL_2	1185	g26947	7880426	scaffold_12	6545	CLGC	CLGC
BL07568	22748596	BFL_2	1271	g30500	22730068	scaffold_12	6648	CLGC	CLGC
BL07589	23090699	BFL_2	1281	g28526	14198549	scaffold_12	6591	CLGC	CLGC
BL07601	23277167	BFL_2	1285	g27066	8420319	scaffold_12	6549	CLGC	CLGC
BL07605	23351264	BFL_2	1288	g33761	37128770	scaffold_12	6768	CLGC	CLGC
BL26781	3256944	BFL_2	854	g212002	23594104	scaffold_9	6976	CLGC	CLGC
BL15936	8577389	BFL_2	933	g211830	22689732	scaffold_9	6965	CLGC	CLGC
BL07299	18963626	BFL_2	1148	g211692	22124584	scaffold_9	6960	CLGC	CLGC
BL07511	22071293	BFL_2	1250	g206924	1754378	scaffold_9	6785	CLGC	CLGC
BL07682	24776128	BFL_2	1328	g212321	24885363	scaffold_9	6988	CLGJ	CLGJ
BL07975	29970756	BFL_2	1438	g211032	19300867	scaffold_9	6936	CLGC	CLGC
BL25223	33434439	BFL_2	1478	g210962	19033111	scaffold_9	6933	CLGC	CLGC
BL07062	15093728	BFL_2	1039	g45577	32416827	scaffold_13	7184	CLGJ	CLGJ
BL07266	18353107	BFL_2	1130	g44929	29964279	scaffold_13	7174	CLGC	CLGC
BL07300	18983783	BFL_2	1149	g41656	17055987	scaffold_13	7125	CLGC	CLGC
BL07534	22353865	BFL_2	1260	g37470	1577807	scaffold_13	7060	CLGC	CLGC
BL22886	33261539	BFL_2	1473	g40238	12679443	scaffold_13	7104	CLGC	CLGC
BL17933	202182	BFL_2	816	g203686	29683998	scaffold_8	7392	CLGC	CLGC
BL03463	1935718	BFL_2	831	g200864	18338900	scaffold_8	7307	CLGC	CLGC
BL21039	4462805	BFL_2	873	g203680	29637317	scaffold_8	7390	CLGC	CLGC
BL05710	4466128	BFL_2	874	g203682	29642910	scaffold_8	7391	CLGC	CLGC
BL15823	5298817	BFL_2	885	g200583	17175128	scaffold_8	7302	CLGC	CLGC
BL03858	9255957	BFL_2	948	g202202	23827240	scaffold_8	7343	CLGC	CLGC
BL06973	12941503	BFL_2	1013	g203417	28631609	scaffold_8	7383	CLGJ	CLGJ
BL07048	14750437	BFL_2	1036	g203131	27485380	scaffold_8	7367	CLGJ	CLGJ
BL07132	16254533	BFL_2	1075	g204016	31276900	scaffold_8	7407	CLGC	CLGC
BL07133	16270664	BFL_2	1076	g204020	31300289	scaffold_8	7408	CLGC	CLGC
BL07171	16755001	BFL_2	1088	g202038	23095184	scaffold_8	7334	CLGC	CLGC
BL07298	18959469	BFL_2	1147	g204339	32776662	scaffold_8	7417	CLGC	CLGC
BL07786	26510776	BFL_2	1376	g202884	26580401	scaffold_8	7356	CLGC	CLGC
BL07927	29075482	BFL_2	1418	g197585	5286904	scaffold_8	7214	CLGC	CLGC
BL07929	29099875	BFL_2	1420	g197570	5237103	scaffold_8	7213	CLGC	CLGC
BL10874	3833922	BFL_2	864	g176053	1010568	scaffold_6	7423	CLGC	CLGC
BL03273	10285669	BFL_2	971	g179499	15481229	scaffold_6	7491	CLGC	CLGC
BL07073	15256257	BFL_2	1046	g178107	9667776	scaffold_6	7458	CLGJ	CLGJ
BL16566	4490531	BFL_4	1558	g99297	49771644	scaffold_18	589	CLGO	CLGO
BL16565	4498104	BFL_4	1559	g99631	51386459	scaffold_18	612	CLGO	CLGO
BL16508	5437325	BFL_4	1569	g100310	54312545	scaffold_18	630	CLGO	CLGO
BL16450	6368593	BFL_4	1580	g95155	29170474	scaffold_18	321	CLGO	CLGO
BL22280	7372253	BFL_4	1587	g101498	58858808	scaffold_18	672	CLGO	CLGO
BL22116	9611183	BFL_4	1622	g96827	37826882	scaffold_18	435	CLGO	CLGO
BL21405	21167279	BFL_4	1911	g100469	54934704	scaffold_18	640	CLGI	CLGI
BL09681	23565744	BFL_4	1955	g94174	24172568	scaffold_18	263	CLGI	CLGI
BL09669	23799713	BFL_4	1956	g91498	11263585	scaffold_18	95	CLGI	CLGI
BL09665	23893485	BFL_4	1958	g90835	8159756	scaffold_18	63	CLGI	CLGI
BL06728	26414118	BFL_4	1988	g94984	28236455	scaffold_18	309	CLGI	CLGI
BL10146	27125908	BFL_4	1999	g91573	11636272	scaffold_18	100	CLGI	CLGI
BL18789	28325746	BFL_4	2009	g91818	12551626	scaffold_18	119	CLGI	CLGI
BL27119	29258228	BFL_4	2022	g98821	47637957	scaffold_18	556	CLGI	CLGI
BL08147	31201226	BFL_4	2048	g93837	22734274	scaffold_18	239	CLGI	CLGI
BL16460	6269796	BFL_4	1579	g137129	46135561	scaffold_2	1172	CLGO	CLGO
BL22257	7604748	BFL_4	1594	g132030	21944798	scaffold_2	919	CLGO	CLGO
BL22220	8148015	BFL_4	1599	g134153	33995936	scaffold_2	1038	CLGO	CLGO
BL22109	9712748	BFL_4	1626	g135046	38212170	scaffold_2	1083	CLGO	CLGO
BL22067	10290135	BFL_4	1642	g138059	50020332	scaffold_2	1210	CLGO	CLGO
BL21810	14970757	BFL_4	1749	g127764	1643758	scaffold_2	698	CLGI	CLGI
BL21808	14992415	BFL_4	1751	g127766	1647175	scaffold_2	699	CLGI	CLGI
BL21663	17190492	BFL_4	1803	g135114	38529718	scaffold_2	1086	CLGI	CLGI
BL21661	17195876	BFL_4	1804	g131323	18354687	scaffold_2	884	CLGI	CLGI
BL21660	17206638	BFL_4	1805	g131332	18385195	scaffold_2	885	CLGI	CLGI
BL21376	21556952	BFL_4	1923	g129773	11426618	scaffold_2	804	CLGI	CLGI
BL21320	22813764	BFL_4	1942	g137429	47563968	scaffold_2	1193	CLGI	CLGI
BL16493	5683630	BFL_4	1572	g158883	25304497	scaffold_4	1636	CLGO	CLGO
BL22125	9472133	BFL_4	1616	g154678	5463649	scaffold_4	1332	CLGO	CLGO
BL21910	12968725	BFL_4	1712	g162862	45412957	scaffold_4	1895	CLGI	CLGI
BL21880	13547942	BFL_4	1721	g162945	46267118	scaffold_4	1898	CLGI	CLGI
BL21614	17898991	BFL_4	1822	g158100	21423293	scaffold_4	1576	CLGI	CLGI
BL08092	32527316	BFL_4	2070	g158245	22234501	scaffold_4	1590	CLGI	CLGI
BL16563	4537445	BFL_4	1560	g68627	5089659	scaffold_16	2032	CLGO	CLGO
BL22124	9488588	BFL_4	1617	g76390	44172711	scaffold_16	2498	CLGO	CLGO
BL22042	10742044	BFL_4	1652	g71140	18427724	scaffold_16	2183	CLGO	CLGO
BL21974	11801806	BFL_4	1676	g76398	44201806	scaffold_16	2499	CLGI	CLGI
BL21921	12756808	BFL_4	1707	g75755	41364711	scaffold_16	2467	CLGI	CLGI
BL21715	16376941	BFL_4	1782	g73074	28904696	scaffold_16	2319	CLGI	CLGI
BL21473	20115492	BFL_4	1877	g69294	8950539	scaffold_16	2082	CLGI	CLGI
BL21314	22915852	BFL_4	1944	g74110	33474774	scaffold_16	2381	CLGI	CLGI
BL16438	25463585	BFL_4	1967	g71956	22570710	scaffold_16	2243	CLGI	CLGI
BL27117	29231697	BFL_4	2021	g75484	40173336	scaffold_16	2448	CLGI	CLGI
BL16936	400244	BFL_4	1504	g112877	50429134	scaffold_19	3076	CLGO	CLGO
BL22103	9790741	BFL_4	1629	g107331	21696308	scaffold_19	2757	CLGO	CLGO
BL21965	11955337	BFL_4	1680	g112334	47508526	scaffold_19	3042	CLGI	CLGI
BL21769	15651718	BFL_4	1767	g107463	22632515	scaffold_19	2778	CLGI	CLGI
BL21652	17353557	BFL_4	1808	g109985	34620627	scaffold_19	2892	CLGI	CLGI
BL16419	25738704	BFL_4	1978	g102905	2824842	scaffold_19	2569	CLGI	CLGI
BL27107	29136552	BFL_4	2019	g106050	15593682	scaffold_19	2708	CLGI	CLGI
BL08106	32147851	BFL_4	2061	g106296	16877714	scaffold_19	2718	CLGI	CLGI
BL06643	34226390	BFL_4	2092	g111050	40514218	scaffold_19	2956	CLGI	CLGI
BL22281	7370651	BFL_4	1586	g18416	24538194	scaffold_11	3311	CLGO	CLGO
BL22111	9680872	BFL_4	1625	g19407	28884411	scaffold_11	3345	CLGO	CLGO
BL21936	12280223	BFL_4	1695	g15070	8914449	scaffold_11	3151	CLGI	CLGI
BL21830	14392330	BFL_4	1740	g17760	21739422	scaffold_11	3271	CLGI	CLGI
BL21803	15089958	BFL_4	1752	g19636	29926361	scaffold_11	3362	CLGI	CLGI
BL21790	15229286	BFL_4	1757	g14650	6635676	scaffold_11	3130	CLGI	CLGI
BL21789	15240146	BFL_4	1758	g14664	6681688	scaffold_11	3131	CLGI	CLGI
BL21750	15961465	BFL_4	1772	g16560	15753474	scaffold_11	3220	CLGI	CLGI
BL21650	17386708	BFL_4	1809	g15585	11362639	scaffold_11	3179	CLGI	CLGI
BL09687	23465045	BFL_4	1954	g20653	34778359	scaffold_11	3409	CLGI	CLGI
BL16426	25638498	BFL_4	1971	g17882	22329782	scaffold_11	3280	CLGI	CLGI
BL06738	26622687	BFL_4	1993	g16926	17749834	scaffold_11	3234	CLGI	CLGI
BL18812	29899016	BFL_4	2028	g14833	7540414	scaffold_11	3143	CLGI	CLGI
BL22084	10048852	BFL_4	1634	g190420	26715470	scaffold_7	3760	CLGO	CLGO
BL21869	13868062	BFL_4	1727	g190817	28676550	scaffold_7	3786	CLGI	CLGI
BL21809	14987935	BFL_4	1750	g185430	3497065	scaffold_7	3526	CLGI	CLGI
BL21773	15592619	BFL_4	1764	g189374	21946072	scaffold_7	3709	CLGI	CLGI
BL21631	17655661	BFL_4	1815	g185846	5788994	scaffold_7	3547	CLGI	CLGI
BL21563	18528291	BFL_4	1839	g187069	11588754	scaffold_7	3605	CLGI	CLGI
BL21501	19550796	BFL_4	1863	g188771	19183060	scaffold_7	3680	CLGI	CLGI
BL09979	23263170	BFL_4	1951	g190530	27286394	scaffold_7	3764	CLGI	CLGI
BL08097	32349051	BFL_4	2067	g184973	930345	scaffold_7	3496	CLGI	CLGI
BL17572	33054692	BFL_4	2080	g185091	1587443	scaffold_7	3503	CLGI	CLGI
BL24057	2261980	BFL_4	1527	g2273	3090551	scaffold_10	3982	CLGO	CLGO
BL16583	4200405	BFL_4	1552	g7102	23452899	scaffold_10	4164	CLGO	CLGO
BL22129	9425135	BFL_4	1613	g6287	19990156	scaffold_10	4124	CLGO	CLGO
BL22093	9947487	BFL_4	1633	g6799	22078068	scaffold_10	4147	CLGO	CLGO
BL21923	12739277	BFL_4	1705	g2284	3113188	scaffold_10	3983	CLGI	CLGI
BL21512	19412594	BFL_4	1860	g3669	8503777	scaffold_10	4010	CLGI	CLGI
BL21450	20440805	BFL_4	1889	g7874	26530288	scaffold_10	4198	CLGI	CLGI
BL09596	25092316	BFL_4	1965	g9479	33715327	scaffold_10	4277	CLGI	CLGI
BL08120	31855612	BFL_4	2055	g10697	39474638	scaffold_10	4333	CLGI	CLGI
BL04525	3531438	BFL_4	1541	g86829	35541514	scaffold_17	4715	CLGO	CLGO
BL21524	19249147	BFL_4	1854	g87622	39261594	scaffold_17	4746	CLGI	CLGI
BL21343	22156260	BFL_4	1935	g84201	22535102	scaffold_17	4589	CLGI	CLGI
BL10092	28077219	BFL_4	2008	g87347	38046628	scaffold_17	4736	CLGI	CLGI
BL18822	30105490	BFL_4	2032	g84672	24785397	scaffold_17	4614	CLGI	CLGI
BL18823	30122862	BFL_4	2033	g84668	24777434	scaffold_17	4613	CLGI	CLGI
BL18830	30280402	BFL_4	2038	g82942	16329217	scaffold_17	4514	CLGI	CLGI
BL16902	42280	BFL_4	1499	g149174	29989531	scaffold_3	5053	CLGO	CLGO
BL16910	249436	BFL_4	1501	g146935	20435764	scaffold_3	4965	CLGO	CLGO
BL16919	320959	BFL_4	1502	g148066	25240266	scaffold_3	5013	CLGO	CLGO
BL16920	327877	BFL_4	1503	g145643	14818226	scaffold_3	4912	CLGO	CLGO
BL16937	412581	BFL_4	1505	g142870	1244823	scaffold_3	4801	CLGO	CLGO
BL03401	434137	BFL_4	1506	g149188	30060524	scaffold_3	5054	CLGO	CLGO
BL23954	490698	BFL_4	1507	g147775	23935356	scaffold_3	4996	CLGO	CLGO
BL23955	525029	BFL_4	1508	g145274	12925659	scaffold_3	4893	CLGO	CLGO
BL23958	567083	BFL_4	1510	g147565	23018286	scaffold_3	4992	CLGO	CLGO
BL23961	663637	BFL_4	1511	g151197	38768181	scaffold_3	5136	CLGO	CLGO
BL23965	715590	BFL_4	1512	g152524	44152957	scaffold_3	5182	CLGO	CLGO
BL23974	808227	BFL_4	1513	g152460	43838503	scaffold_3	5179	CLGO	CLGO
BL23977	873081	BFL_4	1514	g145498	14079181	scaffold_3	4904	CLGO	CLGO
BL23997	1154154	BFL_4	1518	g146911	20330229	scaffold_3	4961	CLGO	CLGO
BL23998	1156306	BFL_4	1519	g146909	20326385	scaffold_3	4960	CLGO	CLGO
BL24004	1355674	BFL_4	1520	g145949	16094466	scaffold_3	4929	CLGO	CLGO
BL24009	1481453	BFL_4	1521	g152441	43627114	scaffold_3	5178	CLGO	CLGO
BL24021	1651879	BFL_4	1522	g150820	37189549	scaffold_3	5121	CLGO	CLGO
BL24023	1745286	BFL_4	1523	g145298	12996047	scaffold_3	4897	CLGO	CLGO
BL24025	1753861	BFL_4	1524	g145291	12977625	scaffold_3	4896	CLGO	CLGO
BL24041	2017593	BFL_4	1525	g147615	23180060	scaffold_3	4994	CLGO	CLGO
BL24045	2089472	BFL_4	1526	g145285	12953898	scaffold_3	4894	CLGO	CLGO
BL24058	2268984	BFL_4	1528	g152489	44002615	scaffold_3	5180	CLGO	CLGO
BL04487	2748162	BFL_4	1531	g145105	12023469	scaffold_3	4888	CLGO	CLGO
BL04492	3035261	BFL_4	1532	g150083	34069954	scaffold_3	5089	CLGO	CLGO
BL04506	3226229	BFL_4	1533	g152053	42284179	scaffold_3	5161	CLGO	CLGO
BL04507	3243199	BFL_4	1534	g147971	24848411	scaffold_3	5006	CLGO	CLGO
BL04514	3392882	BFL_4	1536	g144653	9894906	scaffold_3	4870	CLGO	CLGO
BL04517	3437377	BFL_4	1537	g146656	19227678	scaffold_3	4951	CLGO	CLGO
BL04520	3455205	BFL_4	1538	g145799	15539731	scaffold_3	4921	CLGO	CLGO
BL04522	3479302	BFL_4	1539	g145951	16107239	scaffold_3	4930	CLGO	CLGO
